conc,mean_speeds,std_speeds
0.078125,0.104906712121212,0.00990662830878709
0.15625,0.0969268333333333,0.00795137244406655
0.3125,0.104067984848485,0.00649190850856379
0.625,0.0977558484848485,0.00705315654657059
1.25,0.0855790013774105,0.0123624759656014
2.5,0.0935497272727273,0.00564791925714787
5,0.0825660027548209,0.00239126524959987
10,0.0808548484848485,0.00874097480894734
20,0.0785447726213181,0.00882050013039731
40,0.0654809831532104,0.0111060869611636
80,0.0531444107583007,0.0103686343439132
160,0.0356623376562831,0.00805605764284114
