Well,Conc,Speed,Chemical
well 1,10,0.036295196969697,Dasatinib
well 24,10,0.0469954545454545,Dasatinib
well 25,10,0.0536337337662338,Dasatinib
well 48,10,0.055971632034632,Dasatinib
well 49,10,0.0496318888888889,Dasatinib
well 72,10,0.0541018614718615,Dasatinib
well 73,0.0048828125,0.0774306060606061,Dasatinib
well 96,0.0048828125,0.0896845909090909,Dasatinib
well 2,5,0.0581940529470529,Dasatinib
well 23,5,0.0646509480519481,Dasatinib
well 26,5,0.0583759959737232,Dasatinib
well 47,5,0.0663952479338843,Dasatinib
well 50,5,0.0628233608815427,Dasatinib
well 71,5,0.05493321731299,Dasatinib
well 3,2.5,0.0657435124458875,Dasatinib
well 22,2.5,0.0698342635281385,Dasatinib
well 27,2.5,0.0633444669421488,Dasatinib
well 46,2.5,0.0624664628099174,Dasatinib
well 51,2.5,0.0656512258953168,Dasatinib
well 70,2.5,0.0601310876244967,Dasatinib
well 4,1.25,0.07133401998002,Dasatinib
well 21,1.25,0.0746136526292335,Dasatinib
well 28,1.25,0.0712432102846648,Dasatinib
well 45,1.25,0.050490164002664,Dasatinib
well 52,1.25,0.0739077392102847,Dasatinib
well 69,1.25,0.0609595051917779,Dasatinib
well 76,0.0006103515625,0.070247547979798,Dasatinib
well 93,0.0006103515625,0.0778568686868687,Dasatinib
well 5,0.625,0.0705061804861805,Dasatinib
well 20,0.625,0.0613285040106952,Dasatinib
well 29,0.625,0.0686861417112299,Dasatinib
well 44,0.625,0.074619404040404,Dasatinib
well 53,0.625,0.0716083429752066,Dasatinib
well 68,0.625,0.0596573921028466,Dasatinib
well 77,0.0048828125,0.0808716111111111,Dasatinib
well 92,0.0048828125,0.0894911742424243,Dasatinib
well 6,0.3125,0.0732754173553719,Dasatinib
well 19,0.3125,0.0690144380165289,Dasatinib
well 30,0.3125,0.066230458677686,Dasatinib
well 43,0.3125,0.0709849338842975,Dasatinib
well 54,0.3125,0.0646314894398531,Dasatinib
well 67,0.3125,0.0562188877788878,Dasatinib
well 7,0.15625,0.0720015702479339,Dasatinib
well 18,0.15625,0.0729470844155844,Dasatinib
well 31,0.15625,0.0682886141131596,Dasatinib
well 42,0.15625,0.0759286115702479,Dasatinib
well 55,0.15625,0.0689405202020202,Dasatinib
well 66,0.15625,0.0596867216117216,Dasatinib
well 8,0.078125,0.0708700367309458,Dasatinib
well 17,0.078125,0.0699922851731602,Dasatinib
well 32,0.078125,0.0725721958041958,Dasatinib
well 41,0.078125,0.0676643964646465,Dasatinib
well 56,0.078125,0.0615538509218055,Dasatinib
well 65,0.078125,0.0759824756657484,Dasatinib
well 80,0.0006103515625,0.084632845959596,Dasatinib
well 89,0.0006103515625,0.0911958441558442,Dasatinib
well 9,0.0390625,0.0681780048701299,Dasatinib
well 16,0.0390625,0.0785222131202131,Dasatinib
well 33,0.0390625,0.0689950624426079,Dasatinib
well 40,0.0390625,0.0702864444444444,Dasatinib
well 57,0.0390625,0.0598830430175885,Dasatinib
well 64,0.0390625,0.0689208539944904,Dasatinib
well 81,0.0048828125,0.0751535886134068,Dasatinib
well 88,0.0048828125,0.0996095833333333,Dasatinib
well 10,0.01953125,0.0707607435897436,Dasatinib
well 15,0.01953125,0.0774939833499834,Dasatinib
well 34,0.01953125,0.0682506081796991,Dasatinib
well 39,0.01953125,0.0664211143250689,Dasatinib
well 58,0.01953125,0.0612649834710744,Dasatinib
well 63,0.01953125,0.0569768187115914,Dasatinib
well 11,0.009765625,0.0714336721763085,Dasatinib
well 14,0.009765625,0.0677094204545454,Dasatinib
well 35,0.009765625,0.074788455922865,Dasatinib
well 38,0.009765625,0.0759160174471993,Dasatinib
well 59,0.009765625,0.0620566470650562,Dasatinib
well 62,0.009765625,0.0608979132231405,Dasatinib
well 12,0.00030517578125,0.0832408190294554,Dasatinib
well 13,0.00030517578125,0.0814374747474748,Dasatinib
well 36,0.00030517578125,0.0804016640178004,Dasatinib
well 37,0.00030517578125,0.0823928358585859,Dasatinib
well 60,0.00030517578125,0.0775029184704185,Dasatinib
well 61,0.00030517578125,0.0713757738095238,Dasatinib
well 84,0.0006103515625,0.0899067803030303,Dasatinib
well 85,0.0006103515625,0.096156856060606,Dasatinib
