Well,Conc,Speed,Chemical
well 1,250,0.169695151515151,FAC
well 24,250,0.158560943362193,FAC
well 25,250,0.14861380050505,FAC
well 48,250,0.161713003246753,FAC
well 2,200,0.156387003968254,FAC
well 23,200,0.166092851731602,FAC
well 26,200,0.126854844155844,FAC
well 47,200,0.146033922077922,FAC
well 3,100,0.132250415584416,FAC
well 22,100,0.136874832251082,FAC
well 27,100,0.139459810606061,FAC
well 46,100,0.132161128787879,FAC
well 4,50,0.139285042929293,FAC
well 21,50,0.141204442640693,FAC
well 28,50,0.131441810606061,FAC
well 45,50,0.126013508297258,FAC
well 5,25,0.125356607142857,FAC
well 20,25,0.12382876010101,FAC
well 29,25,0.119704669191919,FAC
well 44,25,0.117247797979798,FAC
well 6,12.5,0.117887724747475,FAC
well 19,12.5,0.116465024793388,FAC
well 30,12.5,0.112867561983471,FAC
well 43,12.5,0.119908742424242,FAC
well 7,6.25,0.108906807162534,FAC
well 18,6.25,0.107413241046832,FAC
well 31,6.25,0.106391663911846,FAC
well 42,6.25,0.108937614325069,FAC
well 8,3.125,0.103128914141414,FAC
well 17,3.125,0.0992996225895317,FAC
well 32,3.125,0.0887273268398269,FAC
well 41,3.125,0.0881572005772006,FAC
well 9,1.56,0.0939571955922865,FAC
well 16,1.56,0.0990130578512397,FAC
well 33,1.56,0.0898950990675991,FAC
well 40,1.56,0.1005513815427,FAC
well 10,0.78,0.0989970730027548,FAC
well 15,0.78,0.0879176354453627,FAC
well 34,0.78,0.088987875079466,FAC
well 39,0.78,0.093340560500106,FAC
well 11,0.39,0.0957893722186904,FAC
well 14,0.39,0.0826349916749917,FAC
well 35,0.39,0.0842968538128538,FAC
well 38,0.39,0.0955178980716253,FAC
well 12,0,0.0879308630006357,FAC
well 13,0,0.0764265638200184,FAC
well 36,0,0.101616823593074,FAC
well 37,0,0.0825201115551116,FAC
