Well,Conc,Speed,Chemical
well 1,5,0,GKT
well 1,5,0,GKT
well 1,5,0,GKT
well 1,5,0,GKT
well 1,5,0,GKT
well 18,2.5,0.0294014173482531,GKT
well 31,1.25,0.049892027972028,GKT
well 42,0.6,0.0541145454545455,GKT
well 55,0.3,0.0596796503496504,GKT
well 66,0.15,0.0705842379679144,GKT
well 79,0.075,0.0716146280991736,GKT
well 90,0,0.0797695316804408,GKT
well 17,2.5,0.030877033492823,GKT
well 32,1.25,0.0473529732935757,GKT
well 41,0.6,0.0634620039403321,GKT
well 56,0.3,0.0645868181818182,GKT
well 65,0.15,0.0712620247933884,GKT
well 80,0.075,0.0696521212121212,GKT
well 89,0,0.0830332575757576,GKT
well 16,2.5,0.0324030223285486,GKT
well 33,1.25,0.0426898863636364,GKT
well 40,0.6,0.0558438016528926,GKT
well 57,0.3,0.0589235123966942,GKT
well 64,0.15,0.0677216624284806,GKT
well 81,0.075,0.0756627685950413,GKT
well 88,0,0.0785322865013774,GKT
well 15,2.5,0.0405357496012759,GKT
well 34,1.25,0.05048625,GKT
well 39,0.6,0.0650739669421488,GKT
well 58,0.3,0.0690989669421488,GKT
well 63,0.15,0.0674736808645899,GKT
well 82,0.075,0.0777146153846154,GKT
well 87,0,0.0742127272727273,GKT
well 14,2.5,0.0364933333333333,GKT
well 35,1.25,0.0455267482517483,GKT
well 38,0.6,0.0543113636363636,GKT
well 59,0.3,0.0624090495867769,GKT
well 62,0.15,0.0702912587412587,GKT
well 83,0.075,0.0758036363636364,GKT
well 86,0,0.0846485606060606,GKT
well 13,2.5,0.0301452447552448,GKT
well 36,1.25,0.0387489669421488,GKT
well 37,0.6,0.0526707575757576,GKT
well 60,0.3,0.0569727908455181,GKT
well 61,0.15,0.0754667493112948,GKT
well 84,0.075,0.0812005303030303,GKT
well 85,0,0.0787881818181818,GKT
