Well,Conc,Speed,Chemical
well 1,100,0.0256785413533835,LY294002
well 24,100,0.0352374231283422,LY294002
well 25,100,0.0406346793206793,LY294002
well 48,100,0.0462807594325609,LY294002
well 49,100,0.0479192064022579,LY294002
well 72,100,0.0491091082251082,LY294002
well 73,0.048828125,0.0739755537190083,LY294002
well 96,0.048828125,0.0699645192837466,LY294002
well 2,50,0.0437116016460483,LY294002
well 23,50,0.0514079309269162,LY294002
well 26,50,0.0501249716949717,LY294002
well 47,50,0.0566017381242768,LY294002
well 50,50,0.0493298193210298,LY294002
well 71,50,0.0449575316804408,LY294002
well 74,0.048828125,0.0830902963702964,LY294002
well 95,0.048828125,0.0803865734265734,LY294002
well 3,25,0.0487301531385281,LY294002
well 22,25,0.0632378628193702,LY294002
well 27,25,0.0515316639118457,LY294002
well 46,25,0.0512706963012478,LY294002
well 51,25,0.0625658723262032,LY294002
well 70,25,0.050493183538168,LY294002
well 75,0.048828125,0.0796554861804862,LY294002
well 94,0.048828125,0.0738839072543618,LY294002
well 4,12.5,0.0678842980504344,LY294002
well 21,12.5,0.0616922063279857,LY294002
well 28,12.5,0.0554287795537796,LY294002
well 45,12.5,0.0631019020562771,LY294002
well 52,12.5,0.0605943448218448,LY294002
well 69,12.5,0.0593485007416826,LY294002
well 5,6.25,0.0683445831105169,LY294002
well 20,6.25,0.0736923208874459,LY294002
well 29,6.25,0.0708940326340326,LY294002
well 44,6.25,0.0748266566766567,LY294002
well 53,6.25,0.0593552555777556,LY294002
well 68,6.25,0.0737614685314685,LY294002
well 6,3.125,0.0764505895316804,LY294002
well 19,3.125,0.0650301695526695,LY294002
well 30,3.125,0.0634389452214452,LY294002
well 43,3.125,0.0602519244652406,LY294002
well 54,3.125,0.0657637011019284,LY294002
well 67,3.125,0.0746992185828877,LY294002
well 8,0.78125,0.07666913003663,LY294002
well 17,0.78125,0.0680583132798574,LY294002
well 32,0.78125,0.078938433982684,LY294002
well 41,0.78125,0.0716845097402597,LY294002
well 56,0.78125,0.0792098075258075,LY294002
well 65,0.78125,0.081677306027306,LY294002
well 82,0.006103515625,0.0722934973359973,LY294002
well 87,0.006103515625,0.0755368374655647,LY294002
well 83,0.006103515625,0.0717721634527089,LY294002
well 86,0.006103515625,0.0769184585414586,LY294002
well 12,0,0.0808035059687787,LY294002
well 13,0,0.0721596461871462,LY294002
well 36,0,0.0713291893939394,LY294002
well 37,0,0.0767588618326118,LY294002
well 60,0,0.0683306740128558,LY294002
well 61,0,0.0791179034299034,LY294002
well 84,0.006103515625,0.07471608815427,LY294002
well 85,0.006103515625,0.0782298484848485,LY294002
